name,id,team,position,timeOnIce,gamePlayed,goals,assists,specialTeams,shots,hits,blocked,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,fantasyPoints,FPP60,FPPG,gamesRemain,fantasyPace,last3FPPG
Andrei Kuzmenko,ID8483808,VAN,LW,7531,8,2,4,2,15,0,1,5454,2077,0,11.0,5.26,1.38,74,113.11999999999999,1.78
Pierre-Luc Dubois,ID8479400,LAK,C,8550,8,3,2,0,20,5,1,6244,2253,53,11.0,4.63,1.38,74,113.11999999999999,1.96
Martin Fehervary,ID8480796,WSH,D,9057,8,0,0,0,11,19,16,8044,23,990,11.0,4.37,1.38,74,113.11999999999999,1.6
Daniel Sprong,ID8478466,DET,RW,8351,10,3,4,0,26,2,2,7379,972,0,13.8,5.95,1.38,72,112.35999999999999,1.26
Jan Rutta,ID8480172,SJS,D,10273,9,0,0,0,9,4,22,8663,244,1366,12.3,4.31,1.37,73,112.01,1.04
Jackson LaCombe,ID8481605,ANA,D,10648,9,0,3,0,7,6,16,8518,232,1898,12.3,4.16,1.37,73,112.01,1.55
Cam York,ID8481546,PHI,D,12651,9,1,2,0,15,3,13,10190,1650,811,12.3,3.5,1.37,73,112.01,1.29
John Klingberg,ID8475906,TOR,D,9998,8,0,5,2,8,6,7,8196,1798,4,10.9,3.92,1.36,74,110.64,1.6
Logan O'Connor,ID8481186,COL,RW,5500,8,3,1,3,10,4,2,4194,0,1306,10.9,7.13,1.36,74,110.64,1.06
Rafael Harvey-Pinard,ID8481093,MTL,LW,7771,9,0,4,1,9,13,11,6222,11,1538,12.2,5.65,1.36,73,111.28,1.99
Hardy Haman Aktell,ID8479522,WSH,D,1243,2,0,1,0,4,3,2,1243,0,0,2.7,7.82,1.35,74,101.9,1.35
Matthew Knies,ID8482720,TOR,LW,6290,8,2,2,1,9,12,4,5797,136,357,10.600000000000001,6.07,1.33,74,108.42,1.2
Brandon Carlo,ID8478443,BOS,D,10723,9,0,2,0,11,3,17,8390,29,2304,11.9,4.0,1.32,73,107.36,1.31
Kyle Burroughs,ID8477335,SJS,D,10833,9,0,0,0,12,22,17,9482,565,786,11.9,3.95,1.32,73,107.36,1.35
Andrew Mangiapane,ID8478233,CGY,LW,8798,9,3,3,1,12,7,1,7120,1103,575,11.9,4.87,1.32,73,107.36,1.47
Henri Jokiharju,ID8480035,BUF,D,8927,9,0,5,0,8,5,11,8398,52,477,11.8,4.76,1.31,73,106.63000000000001,1.09
Samuel Girard,ID8479398,COL,D,9674,8,0,1,0,8,7,16,8251,49,1374,10.5,3.91,1.31,74,106.94,1.53
Marco Rossi,ID8482079,MIN,C,8015,9,3,1,0,21,2,5,6710,1059,246,11.8,5.3,1.31,73,106.63000000000001,0.68
Tyler Bertuzzi,ID8477479,TOR,LW,7732,8,2,1,2,17,8,4,7131,596,5,10.5,4.89,1.31,74,106.94,1.79
Kirby Dach,ID8481523,MTL,C,1562,2,0,2,0,3,3,0,1136,411,15,2.6,5.99,1.3,73,96.9,1.35
Anthony Cirelli,ID8478519,TBL,C,10037,9,1,3,0,15,7,9,8446,474,1117,11.700000000000001,4.2,1.3,73,105.9,1.48
Jonathan Huberdeau,ID8476456,CGY,C,9197,9,2,3,1,15,1,5,7174,1992,31,11.600000000000001,4.54,1.29,73,105.17,1.99
Neal Pionk,ID8480145,WPG,D,11331,9,0,3,0,15,16,11,9127,1302,902,11.600000000000001,3.69,1.29,73,105.17,1.63
Cole Smith,ID8482062,NSH,LW,6513,8,2,1,1,10,18,4,5157,24,1332,10.3,5.69,1.29,74,105.46000000000001,0.87
Devon Toews,ID8478038,COL,D,11114,8,1,3,1,9,4,7,8391,917,1806,10.3,3.34,1.29,74,105.46000000000001,1.98
Warren Foegele,ID8477998,EDM,LW,6040,8,3,1,0,21,7,1,5770,111,159,10.3,6.14,1.29,74,105.46000000000001,1.01
Ryan Suter,ID8470600,DAL,D,8044,7,0,3,0,11,4,9,7318,49,677,9.0,4.03,1.29,75,105.75,1.29
Ian Cole,ID8474013,VAN,D,10019,8,0,1,0,5,7,16,8369,142,1508,10.200000000000001,3.67,1.28,74,104.72,1.28
Troy Terry,ID8478873,ANA,RW,10225,9,2,3,0,24,1,4,8284,1858,83,11.5,4.05,1.28,73,104.44,1.8
Fabian Zetterlund,ID8480188,SJS,LW,7722,9,2,1,2,16,9,6,7134,582,6,11.5,5.36,1.28,73,104.44,0.99
Taylor Raddysh,ID8479390,CHI,RW,8669,9,2,1,1,16,9,7,6516,1052,1101,11.5,4.78,1.28,73,104.44,1.14
Nicolas Hague,ID8479980,VGK,D,11474,10,1,2,0,8,10,14,10076,34,1364,12.8,4.02,1.28,72,104.16,1.37
Justin Danforth,ID8479941,CBJ,RW,6515,9,3,1,0,13,7,5,5815,534,166,11.5,6.35,1.28,73,104.44,1.16
Kevin Korchinski,ID8483466,CHI,D,10701,9,0,3,1,9,0,14,9239,1203,259,11.4,3.84,1.27,73,103.71000000000001,1.27
Nick Seeler,ID8476372,PHI,D,7927,9,0,1,0,7,7,18,7071,23,833,11.4,5.18,1.27,73,103.71000000000001,1.39
Juuso Valimaki,ID8479976,ARI,D,8894,8,0,3,3,3,3,10,7769,981,144,10.1,4.09,1.26,74,103.24,1.33
Andrei Svechnikov,ID8480830,CAR,RW,1676,2,0,1,0,5,5,1,1536,136,4,2.5,5.37,1.25,72,92.0,2.03
Jacob Bernard-Docker,ID8480879,OTT,D,3444,4,0,0,0,0,0,10,3240,21,183,5.0,5.23,1.25,74,97.5,0.89
Timothy Liljegren,ID8480043,TOR,D,9216,8,0,1,1,5,5,15,7845,444,927,10.0,3.91,1.25,74,102.5,1.3
Tyler Tucker,ID8481006,STL,D,3852,5,1,0,0,4,8,6,3635,26,191,6.2,5.79,1.24,75,99.0,1.01
Ty Emberson,ID8480834,SJS,D,5026,5,0,1,0,4,8,8,4927,17,82,6.2,4.44,1.24,73,96.52,1.24
Drake Batherson,ID8480208,OTT,RW,8248,8,1,3,2,17,7,3,6276,1954,18,9.9,4.32,1.24,74,100.76,1.89
Phillip Danault,ID8476479,LAK,C,8580,8,1,4,1,22,7,1,6388,1290,902,9.9,4.15,1.24,74,100.76,1.7
Brett Leason,ID8481517,ANA,RW,6342,9,2,1,0,15,16,6,4596,106,1640,11.1,6.3,1.23,73,100.78999999999999,0.66
Matt Dumba,ID8476856,ARI,D,10362,8,1,0,0,10,13,11,8483,177,1702,9.8,3.4,1.23,74,100.02,1.44
Alexis Lafrenière,ID8482109,NYR,LW,8601,9,4,0,1,12,4,2,7890,700,11,11.1,4.65,1.23,73,100.78999999999999,1.16
Alex Newhook,ID8481618,MTL,C,8484,9,3,1,1,14,7,3,7216,1245,23,11.1,4.71,1.23,73,100.78999999999999,1.04
Jani Hakanpää,ID8475825,DAL,D,7558,7,0,0,0,6,10,14,6380,22,1156,8.6,4.1,1.23,75,100.25,1.36
Esa Lindell,ID8476902,DAL,D,8350,7,0,0,0,11,10,13,6837,7,1506,8.6,3.71,1.23,75,100.25,1.61
Marcus Pettersson,ID8477969,PIT,D,11272,9,0,2,0,8,7,15,9803,64,1405,11.0,3.51,1.22,73,100.06,1.36
David Perron,ID8474102,DET,LW,9052,10,2,2,3,20,12,3,7208,1839,5,12.2,4.85,1.22,72,99.84,1.72
Reese Johnson,ID8481147,CHI,C,3644,5,1,0,0,5,11,5,2919,0,725,6.1,6.03,1.22,73,95.06,0.82
Valeri Nichushkin,ID8477501,COL,RW,8532,8,1,5,0,18,5,1,6690,709,1133,9.799999999999999,4.14,1.22,74,99.28,2.0
Nick Foligno,ID8473422,CHI,LW,9213,9,1,3,0,16,19,5,6567,1273,1373,11.0,4.3,1.22,73,100.06,1.08
Brian Dumoulin,ID8475208,SEA,D,9628,10,1,2,0,8,9,13,8610,26,992,12.2,4.56,1.22,72,99.84,1.42
Quinton Byfield,ID8482124,LAK,RW,7367,8,2,2,0,13,4,4,6269,1098,0,9.7,4.74,1.21,74,98.53999999999999,0.82
Yanni Gourde,ID8476826,SEA,C,10335,10,2,1,0,21,10,8,8863,420,1052,12.1,4.21,1.21,72,99.12,1.45
Marcus Johansson,ID8475149,MIN,LW,9655,9,1,5,0,17,2,4,7553,1982,120,10.9,4.06,1.21,73,98.33,1.16
Oskar Sundqvist,ID8476897,STL,C,5811,7,1,2,1,9,6,5,4999,4,808,8.5,5.27,1.21,75,98.75,1.03
Filip Chytil,ID8480078,NYR,C,8935,9,0,6,1,20,4,4,8073,822,40,10.9,4.39,1.21,73,98.33,1.2
Nick Perbix,ID8480246,TBL,D,8663,9,0,3,0,6,3,14,8654,9,0,10.9,4.53,1.21,73,98.33,1.11
Nick Jensen,ID8475324,WSH,D,8821,8,0,1,0,6,6,15,7045,9,1767,9.7,3.96,1.21,74,98.53999999999999,1.39
Brayden Pachal,ID8481167,VGK,D,7575,8,1,0,0,6,15,11,6618,0,957,9.6,4.56,1.2,72,95.39999999999999,1.14
Joel Armia,ID8476469,MTL,RW,1614,2,1,0,0,3,1,0,1232,0,382,2.4,5.35,1.2,73,89.6,0.99
Jeff Petry,ID8473507,DET,D,6477,6,0,2,0,8,9,7,5965,316,196,7.2,4.0,1.2,72,93.39999999999999,1.88
Cal Clutterbuck,ID8473504,NYI,RW,6198,8,2,2,0,8,18,2,5007,14,1177,9.6,5.58,1.2,74,97.8,1.13
Erik Johnson,ID8473446,BUF,D,8489,9,1,0,0,7,11,14,6069,0,2420,10.8,4.58,1.2,73,97.6,1.51
